date,open,high,low,close,volume,diff,ration,real
2017/10/11,73.2,74.3,71.4,71.6,15091,-1.8,-0.025139665,1
2017/10/12,72.5,72.6,71.3,71.6,7426,-2.1,-0.029329609,1
2017/10/13,71.8,73.6,71.6,73.1,12162,-2,-0.027359781,1
2017/10/16,73.5,73.8,72.6,72.8,7423,-2.4,-0.032967033,0
2017/10/17,73.1,73.2,69.5,69.8,13920,0.2,0.00286533,1
2017/10/18,70,70.6,68.8,69.5,9079,1.1,0.015827338,1
2017/10/19,69.8,71.5,69.8,71.1,7635,-1.3,-0.018284107,1
2017/10/20,71.1,71.8,70.2,70.4,5452,-0.4,-0.005681818,1
2017/10/23,70.5,71.1,69.8,70,3778,-0.9,-0.012857143,1
2017/10/24,69.8,71.2,69.7,70.6,5369,-3,-0.042492918,0
2017/10/25,70.6,70.9,69.8,69.8,4463,-2.2,-0.031518625,0
2017/10/26,69.9,70.4,69.5,70,2820,-0.9,-0.012857143,1
2017/10/27,70.6,71,69.1,69.1,5290,-0.6,-0.008683068,1
2017/10/30,69.7,69.8,67.2,67.6,6706,0.5,0.00739645,1
2017/10/31,67.6,68.1,67.3,67.6,5839,-0.2,-0.00295858,1
2017/11/1,68,69.3,67.7,69.1,6219,-1.8,-0.026049204,1
2017/11/2,69,69.8,68.5,68.5,3706,-1.2,-0.017518248,1
2017/11/3,69,69.8,68.1,68.1,4476,-0.7,-0.010279001,1
2017/11/6,68.2,68.5,66.7,67.4,5363,-0.7,-0.010385757,1
2017/11/7,68.1,68.2,67.3,67.3,3875,-2.7,-0.040118871,0
2017/11/8,67.4,67.8,67,67.3,2892,-2.2,-0.03268945,0
2017/11/9,68.2,68.8,67.4,67.4,6988,-1.3,-0.019287834,1
2017/11/10,67,67,65.8,66.7,7045,-0.7,-0.010494753,1
2017/11/13,66.5,66.6,64.6,64.6,9374,2.9,0.044891641,2
2017/11/14,64.7,65.2,63.5,65.1,5125,2.8,0.043010753,2
2017/11/15,65.2,67.9,64.8,66.1,8040,2,0.030257186,2
2017/11/16,66,66.9,65.8,66,3484,1.5,0.022727273,1
2017/11/17,66.7,67.5,66.5,67.5,5177,1.3,0.019259259,1
2017/11/20,68,68.9,67.8,67.9,4162,1.9,0.027982327,1
2017/11/21,68.2,68.5,67.7,68.1,3116,0.2,0.002936858,1
2017/11/22,68.4,68.6,67.5,67.5,4778,0.2,0.002962963,1
2017/11/23,67.6,69.8,67.5,68.8,5901,-0.2,-0.002906977,1
2017/11/24,69,71.8,68.5,69.8,10731,-2.4,-0.034383954,0
2017/11/27,70,70.3,68.2,68.3,5053,0.1,0.001464129,1
2017/11/28,68,68.7,67.6,67.7,3080,0.9,0.013293944,1
2017/11/29,68.4,69,67.8,68.6,2888,-0.5,-0.00728863,1
2017/11/30,68.6,69.2,67.4,67.4,4372,-1,-0.014836795,1
2017/12/1,68.1,69.3,67.1,68.4,5402,-3.6,-0.052631579,0
2017/12/4,68.6,69.8,68.1,68.6,3745,-3.6,-0.052478134,0
2017/12/5,69,69.4,68.1,68.1,2833,-2.1,-0.030837004,0
2017/12/6,68.5,68.8,66,66.4,4670,-2.1,-0.031626506,0
2017/12/7,66,66.5,64.8,64.8,6030,0.3,0.00462963,1
2017/12/8,65.2,65.6,64.5,65,3295,2.8,0.043076923,2
2017/12/11,65,66.3,64.9,66,2297,2.9,0.043939394,2
2017/12/12,65.7,65.7,64,64.3,3889,8.7,0.135303266,2
2017/12/13,64.4,65.8,64.3,65.1,3188,6.6,0.101382488,2
2017/12/14,65.5,68.8,65.2,67.8,8228,4.9,0.072271386,2
2017/12/15,70.4,70.7,68.7,68.9,14616,3.1,0.044992743,2
2017/12/18,70,73.5,69.6,73,26580,2.1,0.028767123,1
2017/12/19,73.1,74.3,71.2,71.7,13091,2.3,0.032078103,2
2017/12/20,73.2,73.6,72.2,72.7,8094,-0.3,-0.004126547,1
2017/12/21,72.7,72.7,71.7,72,4670,0.8,0.011111111,1
2017/12/22,72.7,77,72.6,75.1,29583,-1.5,-0.019973369,1
2017/12/25,76,76.2,74,74,11754,-0.9,-0.012162162,1
2017/12/26,74.5,74.5,71.8,72.4,7525,1.5,0.020718232,1
2017/12/27,73.3,73.9,72.6,72.8,4333,1.4,0.019230769,1
2017/12/28,74.2,75.4,73.6,73.6,7628,2,0.027173913,1
2017/12/29,74.9,75,73,73.1,7243,2.1,0.02872777,1
2018/1/2,73.5,74.4,73.1,73.9,4682,-1.9,-0.025710419,1
2018/1/3,75,75.2,74.1,74.2,5891,-1.9,-0.025606469,1
2018/1/4,75,76.8,74.1,75.6,12687,-4.8,-0.063492063,0
2018/1/5,76,76.6,75.2,75.2,7484,-5,-0.066489362,0
